
########## RESULTS ##########

Round number: 668                 Ave money: $4896.49          Ave winnings: $-103.51
Round number: 670                 Ave money: $4895.72          Ave winnings: $-104.28
Round number: 672                 Ave money: $4895.19          Ave winnings: $-104.81
Round number: 674                 Ave money: $4894.69          Ave winnings: $-105.31
Round number: 676                 Ave money: $4894.57          Ave winnings: $-105.43
Round number: 678                 Ave money: $4894.59          Ave winnings: $-105.41
Round number: 680                 Ave money: $4894.05          Ave winnings: $-105.95
Round number: 682                 Ave money: $4893.59          Ave winnings: $-106.41
Round number: 684                 Ave money: $4893.66          Ave winnings: $-106.34
Round number: 686                 Ave money: $4893.27          Ave winnings: $-106.73
Round number: 688                 Ave money: $4892.63          Ave winnings: $-107.37
Round number: 690                 Ave money: $4891.90          Ave winnings: $-108.10
Round number: 692                 Ave money: $4891.56          Ave winnings: $-108.44
Round number: 694                 Ave money: $4891.45          Ave winnings: $-108.55
Round number: 696                 Ave money: $4891.26          Ave winnings: $-108.74
Round number: 698                 Ave money: $4891.10          Ave winnings: $-108.90
Round number: 700                 Ave money: $4890.92          Ave winnings: $-109.08
Round number: 702                 Ave money: $4890.44          Ave winnings: $-109.56
Round number: 704                 Ave money: $4890.54          Ave winnings: $-109.46
Round number: 706                 Ave money: $4889.90          Ave winnings: $-110.10
Round number: 708                 Ave money: $4889.39          Ave winnings: $-110.61
Round number: 710                 Ave money: $4888.62          Ave winnings: $-111.38
Round number: 712                 Ave money: $4888.16          Ave winnings: $-111.84
Round number: 714                 Ave money: $4888.37          Ave winnings: $-111.63
Round number: 716                 Ave money: $4887.85          Ave winnings: $-112.15
Round number: 718                 Ave money: $4887.77          Ave winnings: $-112.23
Round number: 720                 Ave money: $4887.01          Ave winnings: $-112.99
Round number: 722                 Ave money: $4887.26          Ave winnings: $-112.74
Round number: 724                 Ave money: $4886.24          Ave winnings: $-113.76
Round number: 726                 Ave money: $4885.49          Ave winnings: $-114.51
Round number: 728                 Ave money: $4884.88          Ave winnings: $-115.12
Round number: 730                 Ave money: $4884.44          Ave winnings: $-115.56
Round number: 732                 Ave money: $4884.09          Ave winnings: $-115.91
Round number: 734                 Ave money: $4884.21          Ave winnings: $-115.79
Round number: 736                 Ave money: $4883.65          Ave winnings: $-116.35
Round number: 738                 Ave money: $4883.06          Ave winnings: $-116.94
Round number: 740                 Ave money: $4883.09          Ave winnings: $-116.91
Round number: 742                 Ave money: $4883.19          Ave winnings: $-116.81
Round number: 744                 Ave money: $4882.81          Ave winnings: $-117.19
Round number: 746                 Ave money: $4882.88          Ave winnings: $-117.12
Round number: 748                 Ave money: $4882.14          Ave winnings: $-117.86
Round number: 750                 Ave money: $4882.44          Ave winnings: $-117.56
Round number: 752                 Ave money: $4882.41          Ave winnings: $-117.59
Round number: 754                 Ave money: $4880.91          Ave winnings: $-119.09
Round number: 756                 Ave money: $4879.67          Ave winnings: $-120.33
Round number: 758                 Ave money: $4879.50          Ave winnings: $-120.50
Round number: 760                 Ave money: $4879.46          Ave winnings: $-120.54
Round number: 762                 Ave money: $4879.78          Ave winnings: $-120.22
Round number: 764                 Ave money: $4879.93          Ave winnings: $-120.07
Round number: 766                 Ave money: $4879.92          Ave winnings: $-120.08
Round number: 768                 Ave money: $4879.00          Ave winnings: $-121.00
Round number: 770                 Ave money: $4878.49          Ave winnings: $-121.51
Round number: 772                 Ave money: $4877.92          Ave winnings: $-122.08
Round number: 774                 Ave money: $4878.69          Ave winnings: $-121.31
Round number: 776                 Ave money: $4879.10          Ave winnings: $-120.90
Round number: 778                 Ave money: $4878.61          Ave winnings: $-121.39
Round number: 780                 Ave money: $4878.53          Ave winnings: $-121.47
Round number: 782                 Ave money: $4878.34          Ave winnings: $-121.66
Round number: 784                 Ave money: $4878.24          Ave winnings: $-121.76
Round number: 786                 Ave money: $4878.09          Ave winnings: $-121.91
Round number: 788                 Ave money: $4877.07          Ave winnings: $-122.93
Round number: 790                 Ave money: $4876.39          Ave winnings: $-123.61
Round number: 792                 Ave money: $4876.48          Ave winnings: $-123.52
Round number: 794                 Ave money: $4875.68          Ave winnings: $-124.32
Round number: 796                 Ave money: $4875.53          Ave winnings: $-124.47
Round number: 798                 Ave money: $4875.71          Ave winnings: $-124.29
Round number: 800                 Ave money: $4875.14          Ave winnings: $-124.86
Round number: 802                 Ave money: $4875.25          Ave winnings: $-124.75
Round number: 804                 Ave money: $4875.44          Ave winnings: $-124.56
Round number: 806                 Ave money: $4875.42          Ave winnings: $-124.58
Round number: 808                 Ave money: $4875.01          Ave winnings: $-124.99
Round number: 810                 Ave money: $4874.99          Ave winnings: $-125.01
Round number: 812                 Ave money: $4873.98          Ave winnings: $-126.02
Round number: 814                 Ave money: $4873.65          Ave winnings: $-126.35
Round number: 816                 Ave money: $4874.18          Ave winnings: $-125.82
Round number: 818                 Ave money: $4874.02          Ave winnings: $-125.98
Round number: 820                 Ave money: $4873.93          Ave winnings: $-126.07
Round number: 822                 Ave money: $4874.48          Ave winnings: $-125.52
Round number: 824                 Ave money: $4873.96          Ave winnings: $-126.04
Round number: 826                 Ave money: $4873.31          Ave winnings: $-126.69
Round number: 828                 Ave money: $4872.73          Ave winnings: $-127.27
Round number: 830                 Ave money: $4872.45          Ave winnings: $-127.55
Round number: 832                 Ave money: $4871.62          Ave winnings: $-128.38
Round number: 834                 Ave money: $4870.86          Ave winnings: $-129.14
Round number: 836                 Ave money: $4870.74          Ave winnings: $-129.26
Round number: 838                 Ave money: $4870.25          Ave winnings: $-129.75
Round number: 840                 Ave money: $4869.11          Ave winnings: $-130.89
Round number: 842                 Ave money: $4868.38          Ave winnings: $-131.62
Round number: 844                 Ave money: $4868.03          Ave winnings: $-131.97
Round number: 846                 Ave money: $4866.66          Ave winnings: $-133.34
Round number: 848                 Ave money: $4866.65          Ave winnings: $-133.35
Round number: 850                 Ave money: $4867.11          Ave winnings: $-132.89
Round number: 852                 Ave money: $4866.96          Ave winnings: $-133.04
Round number: 854                 Ave money: $4866.55          Ave winnings: $-133.45
Round number: 856                 Ave money: $4866.41          Ave winnings: $-133.59
Round number: 858                 Ave money: $4866.38          Ave winnings: $-133.62
Round number: 860                 Ave money: $4866.52          Ave winnings: $-133.48
Round number: 862                 Ave money: $4866.50          Ave winnings: $-133.50
Round number: 864                 Ave money: $4866.40          Ave winnings: $-133.60
Round number: 866                 Ave money: $4866.35          Ave winnings: $-133.65
Round number: 868                 Ave money: $4866.15          Ave winnings: $-133.85
