
########## RESULTS ##########

Round number: 150000              Ave money: $100.80          Ave winnings: $-4899.20
Round number: 150600              Ave money: $101.08          Ave winnings: $-4898.92
Round number: 151200              Ave money: $98.82          Ave winnings: $-4901.18
Round number: 151800              Ave money: $97.43          Ave winnings: $-4902.57
Round number: 152400              Ave money: $97.50          Ave winnings: $-4902.50
Round number: 153000              Ave money: $96.41          Ave winnings: $-4903.59
Round number: 153600              Ave money: $94.81          Ave winnings: $-4905.19
Round number: 154200              Ave money: $93.79          Ave winnings: $-4906.21
Round number: 154800              Ave money: $92.93          Ave winnings: $-4907.07
Round number: 155400              Ave money: $92.18          Ave winnings: $-4907.82
Round number: 156000              Ave money: $90.71          Ave winnings: $-4909.29
Round number: 156600              Ave money: $91.14          Ave winnings: $-4908.86
Round number: 157200              Ave money: $91.19          Ave winnings: $-4908.81
Round number: 157800              Ave money: $89.97          Ave winnings: $-4910.03
Round number: 158400              Ave money: $89.00          Ave winnings: $-4911.00
Round number: 159000              Ave money: $87.87          Ave winnings: $-4912.13
Round number: 159600              Ave money: $86.06          Ave winnings: $-4913.94
Round number: 160200              Ave money: $85.45          Ave winnings: $-4914.55
Round number: 160800              Ave money: $85.20          Ave winnings: $-4914.80
Round number: 161400              Ave money: $83.65          Ave winnings: $-4916.35
Round number: 162000              Ave money: $81.78          Ave winnings: $-4918.22
Round number: 162600              Ave money: $79.59          Ave winnings: $-4920.41
Round number: 163200              Ave money: $79.37          Ave winnings: $-4920.63
Round number: 163800              Ave money: $78.97          Ave winnings: $-4921.03
Round number: 164400              Ave money: $77.84          Ave winnings: $-4922.16
Round number: 165000              Ave money: $77.72          Ave winnings: $-4922.28
Round number: 165600              Ave money: $77.02          Ave winnings: $-4922.98
Round number: 166200              Ave money: $75.66          Ave winnings: $-4924.34
Round number: 166800              Ave money: $75.34          Ave winnings: $-4924.66
Round number: 167400              Ave money: $75.22          Ave winnings: $-4924.78
Round number: 168000              Ave money: $73.91          Ave winnings: $-4926.09
Round number: 168600              Ave money: $73.28          Ave winnings: $-4926.72
Round number: 169200              Ave money: $72.77          Ave winnings: $-4927.23
Round number: 169800              Ave money: $72.67          Ave winnings: $-4927.33
Round number: 170400              Ave money: $71.17          Ave winnings: $-4928.83
Round number: 171000              Ave money: $71.03          Ave winnings: $-4928.97
Round number: 171600              Ave money: $70.63          Ave winnings: $-4929.37
Round number: 172200              Ave money: $70.44          Ave winnings: $-4929.56
Round number: 172800              Ave money: $69.89          Ave winnings: $-4930.11
Round number: 173400              Ave money: $69.46          Ave winnings: $-4930.54
Round number: 174000              Ave money: $69.18          Ave winnings: $-4930.82
Round number: 174600              Ave money: $67.74          Ave winnings: $-4932.26
Round number: 175200              Ave money: $67.74          Ave winnings: $-4932.26
Round number: 175800              Ave money: $68.06          Ave winnings: $-4931.94
Round number: 176400              Ave money: $67.06          Ave winnings: $-4932.94
Round number: 177000              Ave money: $66.56          Ave winnings: $-4933.44
Round number: 177600              Ave money: $65.57          Ave winnings: $-4934.43
Round number: 178200              Ave money: $65.61          Ave winnings: $-4934.39
Round number: 178800              Ave money: $65.04          Ave winnings: $-4934.96
Round number: 179400              Ave money: $62.79          Ave winnings: $-4937.21
Round number: 180000              Ave money: $62.95          Ave winnings: $-4937.05
Round number: 180600              Ave money: $62.48          Ave winnings: $-4937.52
Round number: 181200              Ave money: $62.16          Ave winnings: $-4937.84
Round number: 181800              Ave money: $61.95          Ave winnings: $-4938.05
Round number: 182400              Ave money: $61.11          Ave winnings: $-4938.89
Round number: 183000              Ave money: $59.80          Ave winnings: $-4940.20
Round number: 183600              Ave money: $59.17          Ave winnings: $-4940.82
Round number: 184200              Ave money: $58.72          Ave winnings: $-4941.28
Round number: 184800              Ave money: $58.88          Ave winnings: $-4941.12
Round number: 185400              Ave money: $57.83          Ave winnings: $-4942.17
Round number: 186000              Ave money: $57.33          Ave winnings: $-4942.67
Round number: 186600              Ave money: $56.92          Ave winnings: $-4943.08
Round number: 187200              Ave money: $56.55          Ave winnings: $-4943.45
Round number: 187800              Ave money: $55.28          Ave winnings: $-4944.72
Round number: 188400              Ave money: $54.82          Ave winnings: $-4945.18
Round number: 189000              Ave money: $54.02          Ave winnings: $-4945.98
Round number: 189600              Ave money: $53.38          Ave winnings: $-4946.62
Round number: 190200              Ave money: $52.51          Ave winnings: $-4947.49
Round number: 190800              Ave money: $51.83          Ave winnings: $-4948.17
Round number: 191400              Ave money: $50.38          Ave winnings: $-4949.62
Round number: 192000              Ave money: $50.15          Ave winnings: $-4949.85
Round number: 192600              Ave money: $49.92          Ave winnings: $-4950.08
Round number: 193200              Ave money: $48.99          Ave winnings: $-4951.01
Round number: 193800              Ave money: $47.45          Ave winnings: $-4952.55
Round number: 194400              Ave money: $46.47          Ave winnings: $-4953.53
Round number: 195000              Ave money: $45.19          Ave winnings: $-4954.81
Round number: 195600              Ave money: $43.94          Ave winnings: $-4956.06
Round number: 196200              Ave money: $43.67          Ave winnings: $-4956.33
Round number: 196800              Ave money: $44.31          Ave winnings: $-4955.69
Round number: 197400              Ave money: $43.41          Ave winnings: $-4956.59
Round number: 198000              Ave money: $43.00          Ave winnings: $-4957.00
Round number: 198600              Ave money: $41.75          Ave winnings: $-4958.25
Round number: 199200              Ave money: $40.88          Ave winnings: $-4959.12
Round number: 199800              Ave money: $39.94          Ave winnings: $-4960.06
Round number: 200400              Ave money: $39.60          Ave winnings: $-4960.40
Round number: 201000              Ave money: $39.49          Ave winnings: $-4960.51
Round number: 201600              Ave money: $39.02          Ave winnings: $-4960.98
Round number: 202200              Ave money: $38.66          Ave winnings: $-4961.34
Round number: 202800              Ave money: $37.61          Ave winnings: $-4962.39
Round number: 203400              Ave money: $38.06          Ave winnings: $-4961.94
Round number: 204000              Ave money: $37.93          Ave winnings: $-4962.07
Round number: 204600              Ave money: $36.87          Ave winnings: $-4963.14
Round number: 205200              Ave money: $36.03          Ave winnings: $-4963.97
Round number: 205800              Ave money: $35.13          Ave winnings: $-4964.87
Round number: 206400              Ave money: $34.87          Ave winnings: $-4965.13
Round number: 207000              Ave money: $34.56          Ave winnings: $-4965.44
Round number: 207600              Ave money: $34.11          Ave winnings: $-4965.89
Round number: 208200              Ave money: $34.40          Ave winnings: $-4965.60
Round number: 208800              Ave money: $33.98          Ave winnings: $-4966.02
Round number: 209400              Ave money: $33.93          Ave winnings: $-4966.07
Round number: 210000              Ave money: $33.60          Ave winnings: $-4966.40
Round number: 210600              Ave money: $33.93          Ave winnings: $-4966.07
