
########## RESULTS ##########

Round number: 66900               Ave money: $612.86          Ave winnings: $-4387.14
Round number: 67200               Ave money: $608.77          Ave winnings: $-4391.23
Round number: 67500               Ave money: $603.11          Ave winnings: $-4396.89
Round number: 67800               Ave money: $597.59          Ave winnings: $-4402.41
Round number: 68100               Ave money: $593.58          Ave winnings: $-4406.42
Round number: 68400               Ave money: $589.51          Ave winnings: $-4410.49
Round number: 68700               Ave money: $587.54          Ave winnings: $-4412.46
Round number: 69000               Ave money: $581.87          Ave winnings: $-4418.13
Round number: 69300               Ave money: $575.82          Ave winnings: $-4424.18
Round number: 69600               Ave money: $571.34          Ave winnings: $-4428.66
Round number: 69900               Ave money: $565.81          Ave winnings: $-4434.19
Round number: 70200               Ave money: $562.25          Ave winnings: $-4437.75
Round number: 70500               Ave money: $559.41          Ave winnings: $-4440.59
Round number: 70800               Ave money: $556.02          Ave winnings: $-4443.98
Round number: 71100               Ave money: $550.47          Ave winnings: $-4449.53
Round number: 71400               Ave money: $548.65          Ave winnings: $-4451.35
Round number: 71700               Ave money: $543.62          Ave winnings: $-4456.38
Round number: 72000               Ave money: $540.97          Ave winnings: $-4459.03
Round number: 72300               Ave money: $538.22          Ave winnings: $-4461.78
Round number: 72600               Ave money: $534.91          Ave winnings: $-4465.09
Round number: 72900               Ave money: $533.23          Ave winnings: $-4466.77
Round number: 73200               Ave money: $527.92          Ave winnings: $-4472.08
Round number: 73500               Ave money: $523.85          Ave winnings: $-4476.15
Round number: 73800               Ave money: $520.59          Ave winnings: $-4479.41
Round number: 74100               Ave money: $514.95          Ave winnings: $-4485.05
Round number: 74400               Ave money: $510.45          Ave winnings: $-4489.55
Round number: 74700               Ave money: $504.28          Ave winnings: $-4495.72
Round number: 75000               Ave money: $500.58          Ave winnings: $-4499.42
Round number: 75300               Ave money: $498.66          Ave winnings: $-4501.34
Round number: 75600               Ave money: $493.92          Ave winnings: $-4506.08
Round number: 75900               Ave money: $490.74          Ave winnings: $-4509.26
Round number: 76200               Ave money: $487.44          Ave winnings: $-4512.56
Round number: 76500               Ave money: $483.81          Ave winnings: $-4516.19
Round number: 76800               Ave money: $480.62          Ave winnings: $-4519.38
Round number: 77100               Ave money: $479.18          Ave winnings: $-4520.82
Round number: 77400               Ave money: $475.52          Ave winnings: $-4524.48
Round number: 77700               Ave money: $471.45          Ave winnings: $-4528.55
