
########## RESULTS ##########

Round number: 384                 Ave money: $447.12          Ave winnings: $-52.88
Round number: 386                 Ave money: $447.00          Ave winnings: $-53.00
Round number: 388                 Ave money: $446.91          Ave winnings: $-53.09
Round number: 390                 Ave money: $446.75          Ave winnings: $-53.25
Round number: 392                 Ave money: $447.01          Ave winnings: $-52.99
Round number: 394                 Ave money: $446.86          Ave winnings: $-53.14
Round number: 396                 Ave money: $446.83          Ave winnings: $-53.17
Round number: 398                 Ave money: $446.25          Ave winnings: $-53.75
Round number: 400                 Ave money: $445.61          Ave winnings: $-54.39
Round number: 402                 Ave money: $445.99          Ave winnings: $-54.01
Round number: 404                 Ave money: $445.69          Ave winnings: $-54.31
Round number: 406                 Ave money: $445.97          Ave winnings: $-54.03
Round number: 408                 Ave money: $445.44          Ave winnings: $-54.56
Round number: 410                 Ave money: $445.24          Ave winnings: $-54.76
Round number: 412                 Ave money: $445.00          Ave winnings: $-55.00
Round number: 414                 Ave money: $444.46          Ave winnings: $-55.54
Round number: 416                 Ave money: $444.12          Ave winnings: $-55.88
Round number: 418                 Ave money: $443.95          Ave winnings: $-56.05
Round number: 420                 Ave money: $444.17          Ave winnings: $-55.83
Round number: 422                 Ave money: $443.72          Ave winnings: $-56.28
Round number: 424                 Ave money: $443.29          Ave winnings: $-56.71
Round number: 426                 Ave money: $443.63          Ave winnings: $-56.37
Round number: 428                 Ave money: $443.28          Ave winnings: $-56.72
Round number: 430                 Ave money: $443.05          Ave winnings: $-56.95
Round number: 432                 Ave money: $442.96          Ave winnings: $-57.04
Round number: 434                 Ave money: $442.69          Ave winnings: $-57.31
Round number: 436                 Ave money: $443.04          Ave winnings: $-56.96
Round number: 438                 Ave money: $442.75          Ave winnings: $-57.25
Round number: 440                 Ave money: $442.56          Ave winnings: $-57.44
Round number: 442                 Ave money: $442.17          Ave winnings: $-57.83
Round number: 444                 Ave money: $442.12          Ave winnings: $-57.88
Round number: 446                 Ave money: $442.03          Ave winnings: $-57.97
Round number: 448                 Ave money: $441.66          Ave winnings: $-58.34
Round number: 450                 Ave money: $441.24          Ave winnings: $-58.76
Round number: 452                 Ave money: $441.02          Ave winnings: $-58.98
Round number: 454                 Ave money: $440.99          Ave winnings: $-59.01
Round number: 456                 Ave money: $440.80          Ave winnings: $-59.20
Round number: 458                 Ave money: $440.21          Ave winnings: $-59.79
Round number: 460                 Ave money: $440.65          Ave winnings: $-59.35
Round number: 462                 Ave money: $440.62          Ave winnings: $-59.38
Round number: 464                 Ave money: $439.75          Ave winnings: $-60.25
Round number: 466                 Ave money: $439.51          Ave winnings: $-60.49
Round number: 468                 Ave money: $438.87          Ave winnings: $-61.13
Round number: 470                 Ave money: $438.89          Ave winnings: $-61.11
Round number: 472                 Ave money: $438.67          Ave winnings: $-61.33
Round number: 474                 Ave money: $438.70          Ave winnings: $-61.30
Round number: 476                 Ave money: $438.73          Ave winnings: $-61.27
Round number: 478                 Ave money: $438.92          Ave winnings: $-61.08
Round number: 480                 Ave money: $439.33          Ave winnings: $-60.67
Round number: 482                 Ave money: $439.74          Ave winnings: $-60.26
Round number: 484                 Ave money: $439.21          Ave winnings: $-60.79
Round number: 486                 Ave money: $438.80          Ave winnings: $-61.20
Round number: 488                 Ave money: $438.82          Ave winnings: $-61.18
Round number: 490                 Ave money: $438.54          Ave winnings: $-61.46
Round number: 492                 Ave money: $438.65          Ave winnings: $-61.35
Round number: 494                 Ave money: $438.58          Ave winnings: $-61.42
Round number: 496                 Ave money: $438.66          Ave winnings: $-61.34
Round number: 498                 Ave money: $438.83          Ave winnings: $-61.17
Round number: 500                 Ave money: $438.35          Ave winnings: $-61.65
Round number: 502                 Ave money: $438.43          Ave winnings: $-61.57
Round number: 504                 Ave money: $438.66          Ave winnings: $-61.34
Round number: 506                 Ave money: $437.81          Ave winnings: $-62.19
Round number: 508                 Ave money: $437.51          Ave winnings: $-62.49
Round number: 510                 Ave money: $437.33          Ave winnings: $-62.67
Round number: 512                 Ave money: $437.65          Ave winnings: $-62.35
Round number: 514                 Ave money: $437.62          Ave winnings: $-62.38
